,Gender,Age,Acc,CR,Ptime,S_anx1,S_anx2,S_anx3,EBB3,R_tea,Inattention,LC,AC,WE,PL
Tea_ttt699_Control,1,14,1,1,4,2,4,1,1,5,9,17,6,10,4
Tea_ttt700_Control,2,16,2,2,6,2,1,1,1,5,5,14,5,8,5
Tra_ttt619_DN,2,16,2,2,2,2,1,1,1,5,2,7,5,4,5
Tea_ttt701_Control,2,14,1,1,0,1,1,1,1,6,5,12,10,6,5
Tra_ttt620_DN,2,14,1,1,8,3,4,2,2,5,10,19,11,12,8
Tea_ttt702_Control,2,13,1,1,2,2,1,1,1,6,7,9,7,6,4
Tea_ttt703_Control,1,16,2,1,8,2,1,1,1,5,4,13,6,3,3
Tra_ttt621_DN,2,16,2,2,4,2,1,1,2,4,3,12,13,6,4
Tra_ttt622_DN,2,15,2,2,7,3,2,2,2,4,13,22,8,5,10
Tra_ttt623_DN,2,15,2,2,10,4,2,5,1,4,10,16,13,14,8
Tra_ttt624_DN,2,13,1,1,6,4,1,1,1,3,7,24,7,12,11
Tea_ttt704_Control,1,14,1,1,1,1,1,1,1,6,1,8,4,4,3
Tea_ttt705_Control,2,13,2,2,3,2,1,1,1,6,5,9,5,5,6
Tea_ttt706_Control,1,12,1,1,4,3,3,1,1,5,0,10,6,6,4
Tea_ttt707_Control,1,14,1,1,0,1,1,1,1,7,6,9,4,3,6
Tra_ttt625_DN,2,15,2,2,6,5,3,1,1,5,13,19,9,8,12
Tea_ttt708_Control,1,15,2,2,7,1,1,1,3,4,5,10,7,5,5
Tra_ttt626_DN,2,14,1,1,4,4,1,1,1,3,11,15,17,15,12
Tea_ttt709_Control,1,13,1,1,1,1,1,1,1,7,2,7,4,5,4
Tea_ttt710_Control,1,14,1,1,3,1,1,1,1,5,3,11,4,8,3
Tea_ttt711_Control,1,15,2,2,6,2,1,1,1,5,6,17,7,7,7
Tea_ttt712_Control,1,16,2,2,10,1,1,1,2,4,9,11,4,3,3
Tra_ttt627_DN,1,16,2,2,4,2,1,1,1,4,12,15,4,5,5
Tra_ttt628_DN,2,15,2,2,7,2,3,1,2,4,16,22,8,10,12
Tra_ttt629_DN,2,14,1,1,1,2,1,1,1,6,2,24,9,15,12
Tea_ttt713_Control,1,16,2,2,10,1,1,1,1,7,0,7,4,3,3
Tea_ttt714_Control,1,14,1,2,2,2,1,1,1,5,10,16,4,3,7
